startDate,endDate,value,sourceName,device
2019-12-02 23:15:00 -0500,2019-12-03 07:31:04 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-04 02:40:08 -0500,2019-12-04 07:57:08 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-04 07:57:08 -0500,2019-12-04 07:57:20 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-04 07:57:52 -0500,2019-12-04 10:30:25 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-05 00:49:00 -0500,2019-12-05 06:40:14 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-06 00:40:00 -0500,2019-12-06 06:41:26 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-07 01:30:00 -0500,2019-12-07 09:42:00 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-07 01:30:00 -0500,2019-12-07 09:42:00 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-08 03:45:00 -0500,2019-12-08 11:23:24 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-08 23:32:44 -0500,2019-12-09 07:30:07 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-17 08:55:32 -0500,2019-12-17 10:00:06 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-18 02:00:00 -0500,2019-12-18 10:59:42 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-30 04:33:25 -0500,2019-12-30 11:35:14 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463b9fe0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:13.3, creation date:2019-12-24 20:52:28 +0000>"
2019-12-31 04:25:00 -0500,2019-12-31 11:35:15 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463b9fe0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:13.3, creation date:2019-12-24 20:52:28 +0000>"
2020-01-01 04:37:13 -0500,2020-01-01 10:22:03 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463b9fe0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:13.3, creation date:2019-12-24 20:52:28 +0000>"
2020-01-01 10:24:02 -0500,2020-01-01 11:35:28 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463b9fe0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:13.3, creation date:2019-12-24 20:52:28 +0000>"
2020-01-02 04:25:00 -0500,2020-01-02 11:15:04 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463b9fe0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:13.3, creation date:2019-12-24 20:52:28 +0000>"
2020-01-02 04:25:00 -0500,2020-01-02 11:15:04 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463b9fe0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:13.3, creation date:2019-12-24 20:52:28 +0000>"
2022-03-30 00:28:07 -0500,2022-03-30 06:49:11 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-03-31 01:26:42 -0500,2022-03-31 06:56:19 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
2022-03-31 06:56:53 -0500,2022-03-31 06:58:55 -0500,HKCategoryValueSleepAnalysisInBed,Chandler’s iPhone,
